batting_team,avg_pp_runs,avg_pp_wickets,avg_mo_rr,avg_death_sr,cr4,cr4_risk,pp_score,pp_preserve,mo_score,death_score,batting_score
Chennai Super Kings,52.666666666666664,37.888888888888886,7.7281873683113,146.36867124107576,0.425,LOW,16.666666666666636,26.291723822588242,0.0,0.0,0.0
Delhi Capitals,50.074074074074076,37.74074074074074,8.30563735527848,166.83734512722907,0.528,LOW,0.0,31.952881747120536,34.59656567620768,48.14271093971217,25.337366713067826
Gujarat Titans,53.892857142857146,37.642857142857146,8.907415389302878,154.04905737883183,0.782,HIGH,24.54931972789116,35.6932896615436,70.65068940382248,18.06441451908105,39.251730772564656
Kolkata Knight Riders,50.56,35.96,7.767095321452616,151.1866513467557,0.574,MEDIUM,3.1238095238095247,100.0,2.331079031190386,11.331980998434075,9.66156312623572
Lucknow Super Giants,55.592592592592595,37.48148148148148,8.135101292698316,160.2667211683251,0.663,MEDIUM,35.476190476190474,41.85990811505225,24.379296263485667,32.68847820795462,39.451537657983465
Mumbai Indians,55.57142857142857,37.285714285714285,8.485114078360924,176.68194054300372,0.625,MEDIUM,35.34013605442174,49.34072394389867,45.34949385633292,71.29738691218296,66.79575599716645
Punjab Kings,59.166666666666664,37.56666666666667,8.794115725021227,179.90399032214543,0.623,MEDIUM,58.45238095238092,38.60474230844598,63.86260495515971,78.8757093776905,90.28339238382831
Rajasthan Royals,65.62962962962963,37.888888888888886,8.378635702897592,148.77546495952566,0.658,MEDIUM,100.0,26.291723822588242,38.97009097650836,5.660824678888085,71.09933714257463
Royal Challengers Bengaluru,55.75,37.285714285714285,9.397283637494736,188.88533365293222,0.641,MEDIUM,36.48809523809522,49.34072394389867,100.0,100.0,100.0
Sunrisers Hyderabad,58.46153846153846,38.57692307692308,8.8902668489345,160.6274252274995,0.735,HIGH,53.91941391941389,0.0,69.62327470731923,33.53686102709568,60.195168734591164
