bowler,balls,runs_conceded,wickets,teams_faced,economy,sr
A Kamboj,420,650,420,9,9.29,1.0
A Nortje,72,126,72,3,10.5,1.0
AD Russell,114,218,114,8,11.47,1.0
AJ Hosein,151,198,151,6,7.87,1.0
AK Markram,107,185,107,7,10.37,1.0
AM Ghazanfar,194,320,194,8,9.9,1.0
AR Patel,463,641,463,9,8.31,1.0
AS Roy,189,262,189,7,8.32,1.0
Abhinandan Singh,60,122,60,3,12.2,1.0
Abhishek Sharma,96,162,96,7,10.12,1.0
Akash Deep,127,230,127,5,10.87,1.0
Akash Madhwal,97,167,97,4,10.33,1.0
Akash Singh,115,179,115,5,9.34,1.0
Arshad Khan,209,337,209,8,9.67,1.0
Arshdeep Singh,692,1017,692,9,8.82,1.0
Ashok Sharma,136,233,136,6,10.28,1.0
Ashwani Kumar,196,336,196,6,10.29,1.0
Auqib Nabi,72,128,72,3,10.67,1.0
Avesh Khan,450,765,450,9,10.2,1.0
Azmatullah Omarzai,219,356,219,7,9.75,1.0
B Kumar,634,886,634,9,8.38,1.0
Brijesh Sharma,227,351,227,8,9.28,1.0
C Bosch,127,184,127,5,8.69,1.0
C Green,111,196,111,7,10.59,1.0
CV Varun,512,689,512,9,8.07,1.0
DL Chahar,381,581,381,9,9.15,1.0
DS Rathi,543,795,543,9,8.78,1.0
E Malinga,467,681,467,9,8.75,1.0
Fazalhaq Farooqi,104,211,104,5,12.17,1.0
G Coetzee,76,133,76,3,10.5,1.0
GJ Maxwell,82,111,82,6,8.12,1.0
Gurjapneet Singh,131,202,131,6,9.25,1.0
HH Pandya,367,592,367,9,9.68,1.0
HV Patel,346,549,346,9,9.52,1.0
Harpreet Brar,183,250,183,5,8.2,1.0
Harsh Dubey,200,328,200,7,9.84,1.0
Harshit Rana,276,457,276,9,9.93,1.0
I Sharma,117,210,117,6,10.77,1.0
J Overton,217,338,217,8,9.35,1.0
JA Duffy,104,187,104,4,10.79,1.0
JC Archer,597,891,597,9,8.95,1.0
JD Unadkat,224,322,224,8,8.62,1.0
JJ Bumrah,582,716,582,9,7.38,1.0
JO Holder,163,183,163,6,6.74,1.0
JR Hazlewood,515,764,515,8,8.9,1.0
K Rabada,399,630,399,9,9.47,1.0
