team,avg_pp_wkts_taken,avg_death_eco,avg_dot_pct,avg_wickets_per_match,avg_economy,pp_wkt_score,death_eco_score,dot_score,wicket_score,economy_score,bowling_score
Chennai Super Kings,1.3333333333333333,10.803457990673262,32.74058787410006,5.962962962962963,9.11164723885675,9.55631399317406,24.120267306996528,68.76493597953055,56.94076038903627,73.57600326073288,36.029777539670285
Delhi Capitals,1.3333333333333333,9.887345673934187,29.145996213673158,5.111111111111111,9.534401348010054,9.55631399317406,65.24484356078408,11.764339857256791,0.0,4.196432481528039,20.774221341871048
Gujarat Titans,1.6071428571428572,10.175434256827888,34.71034447804908,6.607142857142857,9.130802333740265,48.805460750853264,52.31245450915647,100.0,100.0,70.43239748025964,90.5580522534911
Kolkata Knight Riders,1.375,9.113121845154268,32.879350807368894,6.458333333333333,8.950636539650654,15.529010238907858,100.0,70.96534444402346,90.05305039787798,100.0,94.87407897153844
Lucknow Super Giants,1.4814814814814814,11.340773532275792,29.69608152353297,5.481481481481482,9.559971686013386,30.792567311338644,0.0,20.48721954490155,24.75685234305929,0.0,0.0
Mumbai Indians,1.6071428571428572,9.389980185587993,32.466795472796576,6.321428571428571,9.016410182611416,48.805460750853264,87.57174014078166,64.42332180959343,80.90185676392574,89.2056705815542,96.14036287804694
Punjab Kings,1.2666666666666666,10.71354340932853,30.246474544810265,5.266666666666667,9.386968021896045,0.0,28.156561753949156,29.214978711465463,10.397877984084904,28.39220175465684,5.360013585532373
Rajasthan Royals,1.4074074074074074,10.757515730419964,28.404109271813642,5.592592592592593,9.489698289277388,20.17444065225637,26.18263013144072,0.0,32.183908045977034,11.532798847313511,6.941423000778229
Royal Challengers Bengaluru,1.9642857142857142,10.0982852783435,32.41804473277808,6.392857142857143,9.010365268233885,100.0,55.77569694200183,63.65026564495347,85.67639257294435,90.19772141164579,100.0
Sunrisers Hyderabad,1.5925925925925926,10.777767743920435,29.779489732455243,6.333333333333333,9.468892238581756,46.71975729996208,25.273510738245104,21.80985034116173,81.6976127320955,14.947348429727928,37.86650276902388
