team,form_raw,nrr,nrr_bonus,form_adjusted,last5,matches_used,form_score
Chennai Super Kings,0.615,-0.345,-0.03,0.585,WWWLL,5,45.13274336283185
Delhi Capitals,0.755,-0.651,-0.07,0.685,WLLWW,5,62.83185840707966
Gujarat Titans,0.79,0.695,0.07,0.86,WWWWL,5,93.80530973451329
Kolkata Knight Riders,0.775,-0.147,0.0,0.775,NRWWLW,5,78.76106194690267
Lucknow Super Giants,0.58,-0.74,-0.07,0.51,LWLWL,5,31.858407079646017
Mumbai Indians,0.65,-0.584,-0.07,0.58,LLWLW,5,44.24778761061947
Punjab Kings,0.3,0.309,0.03,0.33,LLLLL,5,0.0
Rajasthan Royals,0.58,0.189,0.0,0.58,WLLLW,5,44.24778761061947
Royal Challengers Bengaluru,0.825,0.783,0.07,0.895,LLWWW,5,100.0
Sunrisers Hyderabad,0.72,0.524,0.07,0.79,WLWLW,5,81.41592920353983
