match_id,date,venue,season,team1,team2,winner
1473438,2025-03-22,"Eden Gardens, Kolkata",2025,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473439,2025-03-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad
1473440,2025-03-23,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Mumbai Indians,Chennai Super Kings,Chennai Super Kings
1473441,2025-03-24,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
1473442,2025-03-25,"Narendra Modi Stadium, Ahmedabad",2025,Punjab Kings,Gujarat Titans,Punjab Kings
1473443,2025-03-26,"Barsapara Cricket Stadium, Guwahati",2025,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders
1473444,2025-03-27,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow Super Giants
1473445,2025-03-28,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru
1473446,2025-03-29,"Narendra Modi Stadium, Ahmedabad",2025,Gujarat Titans,Mumbai Indians,Gujarat Titans
1473447,2025-03-30,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals
1473448,2025-03-30,"Barsapara Cricket Stadium, Guwahati",2025,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
1473449,2025-03-31,"Wankhede Stadium, Mumbai",2025,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
1473450,2025-04-01,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Lucknow Super Giants,Punjab Kings,Punjab Kings
1473451,2025-04-02,"M Chinnaswamy Stadium, Bengaluru",2025,Royal Challengers Bengaluru,Gujarat Titans,Gujarat Titans
1473452,2025-04-03,"Eden Gardens, Kolkata",2025,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders
1473453,2025-04-04,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants
1473454,2025-04-05,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Delhi Capitals,Chennai Super Kings,Delhi Capitals
1473455,2025-04-05,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Rajasthan Royals,Punjab Kings,Rajasthan Royals
1473456,2025-04-08,"Eden Gardens, Kolkata",2025,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants
1473457,2025-04-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans
1473458,2025-04-07,"Wankhede Stadium, Mumbai",2025,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru
1473459,2025-04-08,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,Chennai Super Kings,Punjab Kings
1473460,2025-04-09,"Narendra Modi Stadium, Ahmedabad",2025,Gujarat Titans,Rajasthan Royals,Gujarat Titans
1473461,2025-04-10,"M Chinnaswamy Stadium, Bengaluru",2025,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals
1473462,2025-04-11,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
1473463,2025-04-12,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants
1473464,2025-04-12,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1473465,2025-04-13,"Sawai Mansingh Stadium, Jaipur",2025,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473466,2025-04-13,"Arun Jaitley Stadium, Delhi",2025,Mumbai Indians,Delhi Capitals,Mumbai Indians
1473467,2025-04-14,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Lucknow Super Giants,Chennai Super Kings,Chennai Super Kings
1473468,2025-04-15,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,Kolkata Knight Riders,Punjab Kings
1473469,2025-04-16,"Arun Jaitley Stadium, Delhi",2025,Delhi Capitals,Rajasthan Royals,No Result
1473470,2025-04-17,"Wankhede Stadium, Mumbai",2025,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1473471,2025-04-18,"M Chinnaswamy Stadium, Bengaluru",2025,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings
1473472,2025-04-19,"Narendra Modi Stadium, Ahmedabad",2025,Delhi Capitals,Gujarat Titans,Gujarat Titans
1473473,2025-04-19,"Sawai Mansingh Stadium, Jaipur",2025,Lucknow Super Giants,Rajasthan Royals,Lucknow Super Giants
1473474,2025-04-20,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",2025,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473475,2025-04-20,"Wankhede Stadium, Mumbai",2025,Chennai Super Kings,Mumbai Indians,Mumbai Indians
1473476,2025-04-21,"Eden Gardens, Kolkata",2025,Gujarat Titans,Kolkata Knight Riders,Gujarat Titans
1473477,2025-04-22,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,Lucknow Super Giants,Delhi Capitals,Delhi Capitals
1473478,2025-04-23,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians
1473479,2025-04-24,"M Chinnaswamy Stadium, Bengaluru",2025,Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru
1473480,2025-04-25,"MA Chidambaram Stadium, Chepauk, Chennai",2025,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad
1473481,2025-04-26,"Eden Gardens, Kolkata",2025,Punjab Kings,Kolkata Knight Riders,No Result
1473482,2025-04-27,"Wankhede Stadium, Mumbai",2025,Mumbai Indians,Lucknow Super Giants,Mumbai Indians
1473483,2025-04-27,"Arun Jaitley Stadium, Delhi",2025,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru
1473484,2025-04-28,"Sawai Mansingh Stadium, Jaipur",2025,Gujarat Titans,Rajasthan Royals,Rajasthan Royals
1473485,2025-04-29,"Arun Jaitley Stadium, Delhi",2025,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders
