venue,avg_first_inn,matches_played,chase_win_rate,spin_pct,pace_pct,score_std_dev,volatility_score
Arun Jaitley Stadium,168.28571428571428,14,0.462,16.4,83.6,27.81374472458528,41.18336963037189
"Arun Jaitley Stadium, Delhi",193.63333333333333,30,0.552,30.4,69.6,43.154480594745884,85.52188024054837
Barabati Stadium,167.71428571428572,7,0.429,7.5,92.5,34.54327858264318,60.633382386762456
"Barsapara Cricket Stadium, Guwahati",168.875,8,0.5,34.7,65.3,29.156903127732885,45.06542871887664
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",174.03571428571428,28,0.577,25.1,74.9,31.562380493775528,52.01785164170899
Brabourne Stadium,180.4,10,0.4,3.3,96.7,20.337158110217853,19.574190140238144
"Brabourne Stadium, Mumbai",177.41176470588235,17,0.529,24.6,75.4,38.08552681716739,70.87135351537209
Dr DY Patil Sports Academy,146.64705882352942,17,0.588,1.9,98.1,28.872437497703995,44.243252881810065
"Dr DY Patil Sports Academy, Mumbai",170.7,20,0.5,20.5,79.5,25.064338264386297,33.2369067918885
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,157.46153846153845,13,0.538,12.9,87.1,27.31182706147462,39.73270378098757
Dubai International Cricket Stadium,163.7608695652174,46,0.512,22.4,77.6,25.1751065606119,33.55705449008485
Eden Gardens,160.1818181818182,77,0.61,15.5,84.5,29.428650233156375,45.850844882682736
"Eden Gardens, Kolkata",191.42857142857142,28,0.462,34.7,65.3,44.34496804008535,88.96268260317409
Feroz Shah Kotla,161.63333333333333,60,0.542,5.0,95.0,34.04531709088945,59.19415084842875
Himachal Pradesh Cricket Association Stadium,175.66666666666666,9,0.444,1.0,99.0,32.30711995830021,54.1703323915975
"Himachal Pradesh Cricket Association Stadium, Dharamsala",199.77777777777777,9,0.375,16.2,83.8,37.20140379669085,68.31601990843932
Holkar Cricket Stadium,160.33333333333334,9,0.889,21.7,78.3,48.163783074006965,100.0
JSCA International Stadium Complex,149.0,7,0.714,28.4,71.6,22.788886180182942,26.660289005603495
Kingsmead,152.0,15,0.467,1.0,99.0,29.024620091029124,44.68309811387322
M Chinnaswamy Stadium,168.06153846153848,65,0.581,9.4,90.6,35.886050964771165,64.51432577930456
"M Chinnaswamy Stadium, Bengaluru",190.375,24,0.542,24.7,75.3,37.29531093034758,68.58743468783783
M.Chinnaswamy Stadium,173.93333333333334,15,0.5,24.0,76.0,38.4512059381138,71.92825637330735
MA Chidambaram Stadium,150.55555555555554,9,0.556,24.0,76.0,40.991191465701235,79.2694410607829
"MA Chidambaram Stadium, Chepauk",166.02083333333334,48,0.362,11.3,88.7,29.292719001909376,45.457970095585814
"MA Chidambaram Stadium, Chepauk, Chennai",168.3170731707317,41,0.575,27.7,72.3,29.76780057746141,46.83107303253722
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",163.0,10,0.5,26.4,73.6,38.735570790223875,72.75014093733066
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",217.0,5,0.6,25.9,74.1,33.704599092705436,58.20939179218657
Maharashtra Cricket Association Stadium,166.4090909090909,22,0.636,11.6,88.4,30.95258907688936,50.25540403577684
"Maharashtra Cricket Association Stadium, Pune",171.46153846153845,13,0.231,24.0,76.0,21.52368998961913,23.003559941622733
"Narendra Modi Stadium, Ahmedabad",185.48717948717947,39,0.513,24.5,75.5,34.51229513549582,60.543832582130506
Nehru Stadium,146.8,5,0.4,6.5,93.5,15.466091943344962,5.495607420952703
New Wanderers Stadium,144.0,8,0.625,0.0,100.0,13.564659966250538,0.0
Newlands,139.42857142857142,7,0.333,0.0,100.0,30.347197250362033,48.50567233118457
Punjab Cricket Association IS Bindra Stadium,175.6,10,0.6,22.1,77.9,13.882042757141726,0.9173145513044424
"Punjab Cricket Association IS Bindra Stadium, Mohali",164.0909090909091,11,0.545,18.3,81.7,37.391053864405976,68.8641553832156
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",197.8,5,0.4,16.7,83.3,39.958728708506236,76.28536902525914
"Punjab Cricket Association Stadium, Mohali",163.28571428571428,35,0.571,5.6,94.4,29.711922174907006,46.669570666190026
Rajiv Gandhi International Stadium,162.6,15,0.467,16.8,83.2,31.17416512801219,50.89581347746341
"Rajiv Gandhi International Stadium, Uppal",156.14285714285714,49,0.604,5.1,94.9,30.82950426674639,49.89965857436838
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",192.24,25,0.5,15.9,84.1,41.29697325470718,80.15322585513624
"Sardar Patel Stadium, Motera",163.16666666666666,12,0.455,5.5,94.5,22.18038991924391,24.9015847198217
Saurashtra Cricket Association Stadium,168.9,10,0.667,20.2,79.8,22.830048425509553,26.779258047675498
Sawai Mansingh Stadium,157.68085106382978,47,0.681,5.0,95.0,23.737794468241283,29.402868015779664
"Sawai Mansingh Stadium, Jaipur",194.52380952380952,21,0.571,31.3,68.7,27.45290339402928,40.14044917995416
Shaheed Veer Narayan Singh International Stadium,146.33333333333334,6,0.667,10.0,90.0,18.162231874598085,13.288116852062254
Sharjah Cricket Stadium,159.03571428571428,28,0.643,18.9,81.1,35.54702898754366,63.534468641967166
Sheikh Zayed Stadium,158.86206896551724,29,0.593,19.8,80.2,31.421926077559995,51.61190373436435
St George's Park,159.0,7,0.571,1.3,98.7,17.281975195754296,10.743957926119839
Subrata Roy Sahara Stadium,149.4375,16,0.375,4.4,95.6,25.216314163652072,33.676154627136974
SuperSport Park,154.83333333333334,12,0.667,2.3,97.7,24.884582058825583,32.7173670191582
Wankhede Stadium,166.02739726027397,73,0.514,9.6,90.4,30.49725516006853,48.939376703515485
"Wankhede Stadium, Mumbai",181.51724137931035,58,0.603,21.4,78.6,34.040863668156945,59.18127935825071
"Zayed Cricket Stadium, Abu Dhabi",159.0,8,0.625,25.8,74.2,41.83300132670378,81.70247919987328
